State,State_abb,state_fips,Date,ECV,Days out from the Election,dem_poll_prob,fund_Prob,combine_probs
West Virginia,WV,54,25-Aug,5,70,0.032,0.09967624,0.086140992
Wisconsin,WI,55,25-Aug,10,70,0.5585,0.756583025,0.71696642
Wyoming,WY,56,25-Aug,3,70,0.0045,0.006693992,0.006255193
Alabama,AL,1,15-Aug,9,80,0.077,0.132004383,0.126503945
Alaska,AK,2,15-Aug,3,80,0.2045,0.045289878,0.06121089
Arizona,AZ,4,15-Aug,11,80,0.5005,0.547332296,0.542649067
Arkansas,AR,5,15-Aug,6,80,0.142,0.384865852,0.360579267
California,CA,6,15-Aug,55,80,0.976,0.990503075,0.989052768
Colorado,CO,8,15-Aug,9,80,0.8775,0.774968199,0.785221379
Connecticut,CT,9,15-Aug,7,80,0.8375,0.917809834,0.90977885
Delaware,DE,10,15-Aug,3,80,0.7895,0.966054366,0.948398929
District of Columbia,DC,11,15-Aug,3,80,0.991,0.995658298,0.995192468
Florida,FL,12,15-Aug,29,80,0.832,0.560039266,0.58723534
Georgia,GA,13,15-Aug,16,80,0.5255,0.492344744,0.49566027
Hawaii,HI,15,15-Aug,4,80,0.9405,0.960233819,0.958260437
Idaho,ID,16,15-Aug,4,80,0.078,0.06905339,0.069948051
